Unnamed: 0,tweet,target
1752,My dads big day is only less than two weeks away. excited,0
2587,"It has only dawned on me, browsing Instagram, how the rich people do winter... That's right, they migrate abroad...I'm not rich ????",1
247,What can you say about awestruck.....,0
1380,My nephew just told me I can't have a cookie. .,0
2842,Always forget about especially lately after suffering with and trying to get better. Also I prefer,1
746,"With all of this unnessary family drama, I feel like moving far away and starting over again. From one thing to another I just feel . Hope I get through this",1
908,every time i think abt hobi crying i start crying,1
1720,"Everyone is a thief,its just a matter of who is near the money basket.",0
3137,Going to finally start getting ready for my move,0
286,I hate it I hate it I hate it I hate it I HATE IT LIFE I HATE,1
716,Working New Years Eve ????????,1
328,Dear Life: Please be gently to me.,1
2175,hi i cant get out of bed because im,1
2911,Won't you take me to Funky Town ... at Hanover Park Terminus.,0
1652,Out drinking by myself self got that feel today bois,1
1022,Hahaha almost fell off the sofa laughing at that point. The wee jump he did as if he was scared too,0
784,"Someone has told me, ""You have very pretty eyes and a smile.. but it's hard to ignore the Hurt, sadness and disappointment behind it."" ??",1
2451,"Yes brain. This gloomy, sad, turbulent, low energy feeling is a sign of my certain death. Now is the time to get worried.",1
2158,Broken As I take this shattered glass And run it down my skin I hope for you the best In your devilish sin,1
2306,I decided to get fat over the holidays from thanksgiving to New Years. This is my last week of pigging out,1
1785,Can't believe I'm gonna end this year feeling like ??.,1
1481,Been left and grandma's house want to see mummy and daddy,1
793,Hopelessness is the enemy of . prevails where persists. Bryan Stevenson,0
792,Last red zone Sunday for a long time,0
226,Michelle Obama's Feelings of are a Bellweather for the country: It Tells us We are Moving in the Right Direction!,0
1601,"ThursdayThoughts The richest wealth is Wisdom, the strongest weapon is peace, the best security is faith ; the best tonic is laughter",0
1758,Two legged stool sample... humor serious comedy,0
358,"they don't see me when I'm crying running a blade down my ankle, maybe then they'd think twice before they said what they said",1
318,Let me just sit here and wallow in self pity,1
448,"Psalm thirty-four:seventeen KJV The righteous cry, and the Lord heareth, and delivereth them out of all their troubles.",0
1851,"ten:forty-eight Would it be considered getting dressed if I put on a bra and jeans? I could remove the robe too... brush my hair? Mood low, so it was a temporary elevation. I wish I could have enjoyed it.",1
393,I'm actually crying because I don't want to return to work on Friday.,0
3055,"Some of these , quotes are just cringe",0
1865,Feeling so UnLucky in life.. ??,1
1488,"Go and see the hell hole which is Halton, now that'll depress you.",1
2988,I can't sleep because if this ???,1
3071,max is lit af he rly put up w my dumb ass for abt two yrs ol boy deserves an award andlt;three i lov him sm hes a delight ; a half,0
2083,":) I hate this emo and this feeling ""fake smile""",1
1471,Skyq is but it's about time sorted there internet out!,0
706,You can clearly appreciate the sub-harmonics in both...-ONE,0
